date,44,45
2013-01-02,4821,4208
2013-01-03,3618,3314
2013-01-04,4169,3630
2013-01-05,4921,4331
2013-01-06,4925,4418
2013-01-07,3871,3339
2013-01-08,3593,3102
2013-01-09,4006,3268
2013-01-10,3323,2697
2013-01-11,3873,3083
2013-01-12,4423,3927
2013-01-13,4676,4345
2013-01-14,3450,2937
2013-01-15,3527,3016
2013-01-16,4026,3183
2013-01-17,3412,2773
2013-01-18,3801,3263
2013-01-19,4656,3984
2013-01-20,4732,4169
2013-01-21,3508,3134
2013-01-22,3349,2759
2013-01-23,3704,2872
2013-01-24,3121,2592
2013-01-25,3751,3172
2013-01-26,4812,4168
2013-01-27,4648,4131
2013-01-28,3392,2872
2013-01-29,3317,2867
2013-01-30,3852,3022
2013-01-31,3509,3002
2013-02-01,4064,3488
2013-02-02,5166,4328
2013-02-03,4736,4198
2013-02-04,3459,3305
2013-02-05,3568,3253
2013-02-06,3941,3214
2013-02-07,3678,2905
2013-02-08,4006,3528
2013-02-09,4133,3942
2013-02-10,3135,3131
2013-02-11,3243,3411
2013-02-12,3904,3655
2013-02-13,3860,3368
2013-02-14,4043,3832
2013-02-15,3605,3327
2013-02-16,4770,4167
2013-02-17,3936,3557
2013-02-18,3586,3117
2013-02-19,3228,2862
2013-02-20,3800,3228
2013-02-21,3282,2684
2013-02-22,3638,3142
2013-02-23,4461,3946
2013-02-24,4517,4404
2013-02-25,3515,2839
2013-02-26,3310,2756
2013-02-27,3595,2986
2013-02-28,3426,2980
2013-03-01,4075,3511
2013-03-02,4891,4669
2013-03-03,5065,4594
2013-03-04,3823,3286
2013-03-05,3582,3132
2013-03-06,4105,3401
2013-03-07,3551,3041
2013-03-08,3998,3484
2013-03-09,4846,4291
2013-03-10,4756,4374
2013-03-11,3626,3115
2013-03-12,3376,2727
2013-03-13,3799,3016
2013-03-14,3276,2712
2013-03-15,3732,3390
2013-03-16,4786,4308
2013-03-17,5037,4510
2013-03-18,3556,3178
2013-03-19,3431,2885
2013-03-20,3806,3180
2013-03-21,3375,2857
2013-03-22,3826,3116
2013-03-23,4972,4288
2013-03-24,4485,4245
2013-03-25,3533,3051
2013-03-26,2756,2753
2013-03-27,4160,3139
2013-03-28,4090,3624
2013-03-29,3905,3747
2013-03-30,4178,4442
2013-03-31,4259,4291
2013-04-01,3812,3624
2013-04-02,3610,3278
2013-04-03,4212,3379
2013-04-04,3457,2922
2013-04-05,3816,3374
2013-04-06,5047,4463
2013-04-07,4857,4460
2013-04-08,3595,3162
2013-04-09,3417,2805
2013-04-10,4008,3167
2013-04-11,3489,2943
2013-04-12,3928,3449
2013-04-13,4843,4316
2013-04-14,4745,4384
2013-04-15,3499,3399
2013-04-16,3496,3130
2013-04-17,3954,3314
2013-04-18,3316,2865
2013-04-19,3558,3280
2013-04-20,5052,4314
2013-04-21,4905,4593
2013-04-22,3531,3220
2013-04-23,3432,2859
2013-04-24,3950,3107
2013-04-25,3429,2766
2013-04-26,3872,3220
2013-04-27,4763,4126
2013-04-28,4799,4289
2013-04-29,3415,3094
2013-04-30,3632,3217
2013-05-01,5053,4394
2013-05-02,3504,3039
2013-05-03,3766,3469
2013-05-04,4962,4599
2013-05-05,5021,4539
2013-05-06,3643,3292
2013-05-07,3347,3102
2013-05-08,4172,3292
2013-05-09,3791,2976
2013-05-10,4316,3652
2013-05-11,6328,5103
2013-05-12,4159,4044
2013-05-13,3600,3164
2013-05-14,3421,2894
2013-05-15,4105,3165
2013-05-16,3648,2903
2013-05-17,3832,3272
2013-05-18,5106,4152
2013-05-19,4684,4251
2013-05-20,3695,3211
2013-05-21,3507,2922
2013-05-22,3969,3142
2013-05-23,3675,3032
2013-05-24,4013,4000
2013-05-25,4116,3903
2013-05-26,4039,3930
2013-05-27,3455,2961
2013-05-28,3407,2712
2013-05-29,3702,2978
2013-05-30,3572,2894
2013-05-31,3886,3446
2013-06-01,5168,4384
2013-06-02,4566,4480
2013-06-03,4034,3300
2013-06-04,3563,3144
2013-06-05,4107,3351
2013-06-06,3482,2991
2013-06-07,3965,3581
2013-06-08,4617,4057
2013-06-09,4668,4241
2013-06-10,3559,2985
2013-06-11,2438,2694
2013-06-12,4027,3122
2013-06-13,3543,2913
2013-06-14,4177,3700
2013-06-15,5511,4975
2013-06-16,4233,4163
2013-06-17,3793,3083
2013-06-18,3347,3044
2013-06-19,3909,3029
2013-06-20,3371,2814
2013-06-21,3866,3322
2013-06-22,4603,3890
2013-06-23,4622,4147
2013-06-24,3584,3039
2013-06-25,3470,2867
2013-06-26,3838,3050
2013-06-27,3410,2761
2013-06-28,3866,3353
2013-06-29,4601,4318
2013-06-30,4541,4212
2013-07-01,3998,3457
2013-07-02,3717,3276
2013-07-03,4163,3418
2013-07-04,3569,3034
2013-07-05,3973,3604
2013-07-06,4665,4170
2013-07-07,4589,4264
2013-07-08,3725,3369
2013-07-09,3531,2996
2013-07-10,3820,3227
2013-07-11,3445,2793
2013-07-12,3978,3315
2013-07-13,4514,3998
2013-07-14,4383,4135
2013-07-15,3815,3411
2013-07-16,3860,3040
2013-07-17,3889,3176
2013-07-18,3445,2836
2013-07-19,3861,3373
2013-07-20,4411,4102
2013-07-21,4373,3884
2013-07-22,3773,3206
2013-07-23,3576,3107
2013-07-24,3882,3139
2013-07-25,3524,2778
2013-07-26,4003,3319
2013-07-27,4413,3930
2013-07-28,4241,3914
2013-07-29,3520,3063
2013-07-30,3499,3018
2013-07-31,4188,3325
2013-08-01,3797,3211
2013-08-02,4006,3491
2013-08-03,4576,4207
2013-08-04,4563,4137
2013-08-05,3833,3487
2013-08-06,3526,3191
2013-08-07,3971,3295
2013-08-08,3318,2984
2013-08-09,3856,3433
2013-08-10,4212,3850
2013-08-11,4108,3914
2013-08-12,3740,3234
2013-08-13,3587,3192
2013-08-14,3733,3126
2013-08-15,3459,3113
2013-08-16,4074,3641
2013-08-17,4722,4020
2013-08-18,4585,4041
2013-08-19,3767,3380
2013-08-20,3664,3258
2013-08-21,4043,3437
2013-08-22,3426,3031
2013-08-23,3900,3414
2013-08-24,4617,4030
2013-08-25,4480,4138
2013-08-26,3831,3244
2013-08-27,3654,3111
2013-08-28,4059,3334
2013-08-29,3726,3021
2013-08-30,4191,3538
2013-08-31,5214,4360
2013-09-01,5391,4599
2013-09-02,4303,3634
2013-09-03,3938,3418
2013-09-04,4372,3594
2013-09-05,3629,3151
2013-09-06,3751,3199
2013-09-07,5077,4207
2013-09-08,5038,4677
2013-09-09,3789,3196
2013-09-10,3337,2903
2013-09-11,4035,3087
2013-09-12,3509,2683
2013-09-13,3841,3340
2013-09-14,4838,4128
2013-09-15,4904,4319
2013-09-16,3813,3152
2013-09-17,3311,2901
2013-09-18,3778,2412
2013-09-19,3333,2641
2013-09-20,3895,3318
2013-09-21,4601,4135
2013-09-22,4657,4157
2013-09-23,3758,3118
2013-09-24,3452,2836
2013-09-25,3832,3057
2013-09-26,3394,2600
2013-09-27,3827,3214
2013-09-28,4771,4154
2013-09-29,4788,4269
2013-09-30,3357,3072
2013-10-01,3753,3262
2013-10-02,4116,3379
2013-10-03,3593,2920
2013-10-04,4046,3454
2013-10-05,4890,4327
2013-10-06,4954,4613
2013-10-07,3663,3207
2013-10-08,3529,3019
2013-10-09,3969,3072
2013-10-10,3418,2803
2013-10-11,2333,3843
2013-10-12,4209,4066
2013-10-13,4345,4026
2013-10-14,3345,3157
2013-10-15,3175,2822
2013-10-16,3960,3201
2013-10-17,3517,2938
2013-10-18,3795,3265
2013-10-19,5416,4267
2013-10-20,5284,4522
2013-10-21,3565,3172
2013-10-22,3386,2847
2013-10-23,3822,2986
2013-10-24,3436,2725
2013-10-25,3764,3254
2013-10-26,4826,4190
2013-10-27,4678,4331
2013-10-28,3611,3081
2013-10-29,3470,2768
2013-10-30,4031,3047
2013-10-31,3354,3010
2013-11-01,4148,3568
2013-11-02,4855,4309
2013-11-03,4973,4432
2013-11-04,3654,3419
2013-11-05,3655,3095
2013-11-06,4023,3328
2013-11-07,3488,2890
2013-11-08,3806,3425
2013-11-09,5069,4225
2013-11-10,5197,4578
2013-11-11,3788,3203
2013-11-12,3577,2879
2013-11-13,3970,3035
2013-11-14,3460,2701
2013-11-15,4106,3394
2013-11-16,5170,4426
2013-11-17,5125,4613
2013-11-18,3726,3298
2013-11-19,3712,2920
2013-11-20,4087,3315
2013-11-21,3467,2664
2013-11-22,4195,3481
2013-11-23,5085,4293
2013-11-24,4973,4411
2013-11-25,3908,3149
2013-11-26,3697,2858
2013-11-27,4292,2990
2013-11-28,3705,2837
2013-11-29,4061,3522
2013-11-30,5181,4477
2013-12-01,5823,4831
2013-12-02,4259,3726
2013-12-03,4230,3379
2013-12-04,4644,3451
2013-12-05,4000,3026
2013-12-06,4525,4098
2013-12-07,4935,4501
2013-12-08,5171,4465
2013-12-09,4224,3310
2013-12-10,4305,3286
2013-12-11,4837,3599
2013-12-12,4675,3366
2013-12-13,4913,4270
2013-12-14,5950,4679
2013-12-15,6159,5114
2013-12-16,5165,4256
2013-12-17,5327,4227
2013-12-18,6059,4780
2013-12-19,5997,5111
2013-12-20,6119,5099
2013-12-21,6900,5982
2013-12-22,7159,6119
2013-12-23,8256,7305
2013-12-24,7433,7093
2013-12-26,5084,4343
2013-12-27,5087,4733
2013-12-28,4822,4862
2013-12-29,4214,4510
2013-12-30,5810,5859
2013-12-31,5085,4509
2014-01-02,4422,4235
2014-01-03,4167,3927
2014-01-04,5341,5081
2014-01-05,5123,4809
2014-01-06,3917,3529
2014-01-07,3663,3226
2014-01-08,4254,3430
2014-01-09,3723,3054
2014-01-10,4010,3615
2014-01-11,5053,4574
2014-01-12,4852,4541
2014-01-13,3913,3238
2014-01-14,3560,3021
2014-01-15,3872,3274
2014-01-16,3781,3005
2014-01-17,3953,3470
2014-01-18,4950,4357
2014-01-19,4711,4471
2014-01-20,3661,3109
2014-01-21,3781,3053
2014-01-22,3954,2988
2014-01-23,3568,2743
2014-01-24,3971,3513
2014-01-25,4813,4170
2014-01-26,4525,4527
2014-01-27,3723,3070
2014-01-28,3491,2873
2014-01-29,3810,3063
